Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,Book Title,Series Name,Series Number,Genre
60701439,Big Swiss,Jen Beagin,"Beagin, Jen",,"=""1982153083""","=""9781982153083""",0,3.68,Scribner,Hardcover,336.0,2023,2023.0,,2025/09/25,to-read,to-read (#262),to-read,0,0,Big Swiss,,,Fiction
44054122,Imagine Me,Tahereh Mafi,"Mafi, Tahereh",,"=""006267644X""","=""9780062676443""",0,4.01,HarperCollins,ebook,450.0,2020,2020.0,,2025/09/25,currently-reading,currently-reading (#5),currently-reading,1,0,Imagine Me,Shatter Me,6.0,Young Adult Fiction
43514655,Reveal Me,Tahereh Mafi,"Mafi, Tahereh",,"=""""","=""""",4,3.96,Storytide,Kindle Edition,112.0,2019,2019.0,2025/09/25,2025/09/25,,,read,1,0,Reveal Me,Shatter Me,5.5,Juvenile Fiction
222376601,Spread Me,Sarah Gailey,"Gailey, Sarah",,"=""1250387337""","=""9781250387332""",0,3.63,Tor Nightfire,Hardcover,208.0,2025,2025.0,,2025/09/25,to-read,to-read (#261),to-read,0,0,Spread Me,,,Fiction
201242757,You Like It Darker,Stephen        King,"King, Stephen",,"=""1668037718""","=""9781668037713""",0,4.2,Scribner,Hardcover,512.0,2024,2024.0,,2025/09/25,to-read,to-read (#260),to-read,0,0,You Like It Darker,,,Fiction
34992959,Defy Me,Tahereh Mafi,"Mafi, Tahereh",,"=""0062676393""","=""9780062676399""",5,4.27,HarperTeen,Hardcover,357.0,2019,2019.0,2025/09/24,2025/09/24,,,read,1,0,Defy Me,Shatter Me,5.0,Young Adult Fiction
40863452,Shadow Me,Tahereh Mafi,"Mafi, Tahereh",,"=""0062906267""","=""9780062906267""",4,3.96,HarperCollins,Kindle Edition,69.0,2019,2019.0,2025/09/23,2025/09/23,,,read,1,0,Shadow Me,Shatter Me,4.5,Young Adult Fiction
34992929,Restore Me,Tahereh Mafi,"Mafi, Tahereh",,"=""0062676369""","=""9780062676368""",4,4.14,HarperCollins,Hardcover,448.0,2018,2018.0,2025/09/23,2025/09/19,,,read,1,0,Restore Me,Shatter Me,4.0,Young Adult Fiction
122953929,Between Life and Death,Jaclyn Kot,"Kot, Jaclyn",,"=""1738702227""","=""9781738702220""",0,3.85,,Kindle Edition,463.0,2023,,,2025/09/21,to-read,to-read (#259),to-read,0,0,Between Life and Death,Between Life and Death,1.0,Fiction
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",5,4.22,"Little, Brown and Company",Hardcover,393.0,2018,2018.0,2025/04/11,2024/02/20,,,read,1,0,Circe,,,Fiction
7260188,Mockingjay,Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",0,4.12,Scholastic Press,Hardcover,390.0,2010,2010.0,2025/03/15,2024/02/01,,,read,2,0,Mockingjay,The Hunger Games,3.0,Juvenile Fiction
29901930,The Fisherman,John  Langan,"Langan, John",,"=""1939905214""","=""9781939905215""",0,3.86,Word Horde,Paperback,266.0,2016,2016.0,,2025/09/19,to-read,to-read (#258),to-read,0,0,The Fisherman,,,Fiction
13188676,Ignite Me,Tahereh Mafi,"Mafi, Tahereh",,"=""006208559X""","=""9780062085597""",5,4.45,HarperCollins ,Kindle Edition,408.0,2014,2014.0,2025/09/19,2025/09/17,,,read,1,0,Ignite Me,Shatter Me,3.0,Young Adult Fiction
