Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58724923,Hidden Pictures,Jason Rekulak,"Rekulak, Jason",,"=""1250819342""","=""9781250819345""",0,4.15,Flatiron Books,Hardcover,372,2022,2022,,2025/11/01,to-read,to-read (#290),to-read,,,,0,0
40396699,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""""","=""""",4,4.17,Celadon Books,Kindle Edition,362,2019,2019,2025/10/31,2025/10/27,,,read,,,,1,0
223362264,"The Ordeals (Killmarth Trials, #1)",Rachel Greenlaw,"Greenlaw, Rachel",,"=""0593984838""","=""9780593984833""",0,4.00,Delacorte Press,Hardcover,384,2025,2025,,2025/10/30,to-read,to-read (#289),to-read,,,,0,0
197363933,"The Games Gods Play (The Crucible, #1)",Abigail Owen,"Owen, Abigail",,"=""1649376561""","=""9781649376565""",0,4.14,Entangled: Red Tower Books,Hardcover,509,2024,2024,,2025/10/30,to-read,to-read (#288),to-read,,,,0,0
57282383,"A Shadow in the Ember (Flesh and Fire, #1)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""""","=""""",0,4.46,Blue Box Press,Hardcover,647,2021,2021,,2024/02/01,currently-reading,currently-reading (#5),currently-reading,,,,1,0
16200,Ella Minnow Pea: A Novel in Letters,Mark Dunn,"Dunn, Mark",,"=""0385722435""","=""9780385722438""",0,3.94,Vintage,Paperback,208,2002,2001,,2025/10/26,to-read,to-read (#287),to-read,,,,0,0
57815107,"The War of Two Queens (Blood and Ash, #4)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""1952457726""","=""9781952457722""",5,4.09,Blue Box Press,ebook,628,2022,2022,2025/10/25,2025/10/16,,,read,,,,1,0
217477109,"Empire of Flame and Thorns (Flame and Thorns, #1)",Marion Blackwood,"Blackwood, Marion",,"=""9198904264""","=""9789198904260""",0,4.02,Black Dagger Publishing,Kindle Edition,366,2024,2024,,2025/10/25,to-read,to-read (#286),to-read,,,,0,0
125974694,Come Closer,Sara Gran,"Gran, Sara",,"=""1641295244""","=""9781641295246""",0,3.66,Hell's Hundred,Paperback,168,2023,2003,,2025/10/23,to-read,to-read (#285),to-read,,,,0,0
216725635,"A Tongue so Sweet and Deadly (Compelling Fates Saga, #1)",Sophia St. Germain,"Germain, Sophia St.",,"=""9153105591""","=""9789153105596""",0,4.05,,Kindle Edition,476,2024,,,2025/10/19,to-read,to-read (#284),to-read,,,,0,0
81075,Alphabet of Thorn,Patricia A. McKillip,"McKillip, Patricia A.",,"=""0441012434""","=""9780441012435""",0,4.09,Ace,Paperback,291,2005,2004,,2025/10/18,to-read,to-read (#283),to-read,,,,0,0
230889827,"The Ascended (Aesymarean Duet, #1)",Bree Grenwich,"Grenwich, Bree",Parker Lennox,"=""""","=""9798991112871""",0,4.62,Onyx Publishing,Hardcover,756,2025,2025,,2025/10/18,to-read,to-read (#282),to-read,,,,0,0
55924835,"The ​Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""""","=""""",4,4.16,Blue Box Press,Kindle Edition,659,2021,2021,2025/10/16,2025/10/08,,,read,,,,1,0
181344829,"Bride (Bride, #1)",Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",0,4.00,Berkley,Kindle Edition,410,2024,2024,,2025/10/14,to-read,to-read (#281),to-read,,,,0,0
2917367,The Bell at Sealey Head,Patricia A. McKillip,"McKillip, Patricia A.",,"=""0441016308""","=""9780441016303""",0,4.02,Ace Books,Hardcover,277,2008,2008,,2025/10/13,to-read,to-read (#280),to-read,,,,0,0
165940202,"A Fate Inked in Blood (Saga of the Unfated, #1)",Danielle L. Jensen,"Jensen, Danielle L.",,"=""0593599837""","=""9780593599839""",0,3.92,Del Rey,Hardcover,419,2024,2024,,2025/10/13,to-read,to-read (#279),to-read,,,,0,0
28695606,FantasticLand,Mike Bockoven,"Bockoven, Mike",,"=""1510709444""","=""9781510709447""",0,3.84,Skyhorse Publishing,Hardcover,272,2016,2016,,2025/10/11,to-read,to-read (#278),to-read,,,,0,0
20820994,I'll Give You the Sun,Jandy Nelson,"Nelson, Jandy",,"=""0803734964""","=""9780803734968""",0,4.15,Dial Books,Hardcover,371,2014,2014,,2025/10/10,to-read,to-read (#277),to-read,,,,0,0
195791081,Asunder,Kerstin  Hall,"Hall, Kerstin",,"=""1250625432""","=""9781250625434""",0,4.12,Tordotcom,Hardcover,432,2024,2024,,2025/10/10,to-read,to-read (#276),to-read,,,,0,0
58411935,Fairydale,Veronica Lancet,"Lancet, Veronica",,"=""""","=""""",0,3.81,VL Books,Kindle Edition,772,2022,2022,,2025/10/09,to-read,to-read (#275),to-read,,,,0,0
58416952,"The Will of the Many (Hierarchy, #1)",James  Islington,"Islington, James",,"=""1982141190""","=""9781982141196""",0,4.60,Gallery / Saga Press,Kindle Edition,639,2023,2023,,2025/10/09,to-read,to-read (#274),to-read,,,,0,0
55145261,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,"Green, John",,"=""0525555218""","=""9780525555216""",0,4.35,Dutton,Hardcover,304,2021,2021,,2025/10/09,to-read,to-read (#273),to-read,,,,0,0
24800,House of Leaves,Mark Z. Danielewski,"Danielewski, Mark Z.",,"=""""","=""""",0,4.09,Random House,Paperback,710,2000,2000,,2025/10/09,to-read,to-read (#272),to-read,,,,0,0
64623481,The September House,Carissa Orlando,"Orlando, Carissa",,"=""0593548612""","=""9780593548615""",0,3.87,Berkley,Hardcover,344,2023,2023,,2025/10/08,to-read,to-read (#271),to-read,,,,0,0
54319549,"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""1952457106""","=""9781952457104""",5,4.32,Blue Box Press,Kindle Edition,637,2020,2020,2025/10/08,2025/10/04,,,read,,,,1,0
212342605,Hungerstone,Kat Dunn,"Dunn, Kat",,"=""1638932166""","=""9781638932161""",0,3.94,Zando,Hardcover,336,2025,2025,,2025/10/08,to-read,to-read (#270),to-read,,,,0,0
193544852,My Darling Dreadful Thing,Johanna van Veen,"Veen, Johanna van",,"=""1728281547""","=""9781728281544""",0,3.85,Poisoned Pen Press,Paperback,375,2024,2024,,2025/10/08,to-read,to-read (#269),to-read,,,,0,0
247000,The Mezzanine,Nicholson Baker,"Baker, Nicholson",,"=""0679725768""","=""9780679725763""",0,3.83,Vintage,Paperback,135,1990,1988,,2025/10/07,to-read,to-read (#268),to-read,,,,0,0
60658710,"Ruthless Creatures (Queens & Monsters, #1)",J.T. Geissinger,"Geissinger, J.T.",,"=""""","=""9798985316810""",0,4.04,J.T. Geissinger Inc.,Paperback,376,2021,2021,,2025/10/06,to-read,to-read (#267),to-read,,,,0,0
52831200,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""1952457017""","=""9781952457012""",5,4.22,Blue Box Press,ebook,622,2020,2020,2025/10/04,2024/01/29,,,read,,,,1,0
225699786,The Everlasting,Alix E. Harrow,"Harrow, Alix E.",,"=""1250799082""","=""9781250799081""",0,4.55,Tor Books,Hardcover,320,2025,2025,,2025/10/03,to-read,to-read (#266),to-read,,,,0,0
147243,"Touching Spirit Bear (Spirit Bear, #1)",Ben Mikaelsen,"Mikaelsen, Ben",,"=""0060734000""","=""9780060734008""",0,3.86,HarperCollins,Mass Market Paperback,289,2005,2001,,2025/10/01,to-read,to-read (#265),to-read,,,,0,0
6693658,The Divine Farce,Michael S.A. Graziano,"Graziano, Michael S.A.",,"=""1935248049""","=""9781935248040""",4,4.18,Leapfrog Press,Paperback,128,2009,2009,2025/09/30,2025/03/08,,,read,,,,1,0
217959489,Watch Me (Shatter Me: The New Republic #1),Tahereh Mafi,"Mafi, Tahereh",,"=""0008718156""","=""9780008718152""",4,4.27,Electric Monkey,Kindle Edition,368,2025,2025,2025/09/30,2025/09/29,,,read,,,,1,0
208159162,Lost in the Garden,Adam S. Leslie,"Leslie, Adam S.",,"=""1915368480""","=""9781915368485""",0,3.52,Dead Ink Books,Paperback,446,2024,2024,,2025/09/30,to-read,to-read (#264),to-read,,,,0,0
239304864,Willow Rose,M. Kevin  Hayden,"Hayden, M. Kevin",,"=""""","=""9798992780543""",0,3.86,Muse of the Moon Books,Hardcover,206,2025,,,2025/09/29,to-read,to-read (#263),to-read,,,,0,0
221604746,The House Saphir,Marissa Meyer,"Meyer, Marissa",,"=""125032095X""","=""9781250320957""",0,4.11,Feiwel & Friends,Hardcover,432,2025,2025,,2025/09/29,to-read,to-read (#262),to-read,,,,0,0
211004924,"Firebird (The Fire That Binds, #1)",Juliette Cross,"Cross, Juliette",,"=""1250339944""","=""9781250339942""",0,3.68,Bramble,Hardcover,400,2025,2025,,2025/09/29,to-read,to-read (#261),to-read,,,,0,0
