Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,Book Title,Series Name,Series Number
147243,Touching Spirit Bear,Ben Mikaelsen,"Mikaelsen, Ben",,"=""0060734000""","=""9780060734008""",0,3.85,HarperCollins,Mass Market Paperback,289.0,2005,2001.0,,2025/10/01,to-read,to-read (#268),to-read,0,0,Touching Spirit Bear,Spirit Bear,1
6693658,The Divine Farce,Michael S.A. Graziano,"Graziano, Michael S.A.",,"=""1935248049""","=""9781935248040""",4,4.18,Leapfrog Press,Paperback,128.0,2009,2009.0,2025/09/30,2025/03/08,,,read,1,0,The Divine Farce,,
217959489,Watch Me,Tahereh Mafi,"Mafi, Tahereh",,"=""0008718156""","=""9780008718152""",4,4.27,Electric Monkey,Kindle Edition,368.0,2025,2025.0,2025/09/30,2025/09/29,,,read,1,0,Watch Me,Shatter Me: The New Republic,1
208159162,Lost in the Garden,Adam S. Leslie,"Leslie, Adam S.",,"=""1915368480""","=""9781915368485""",0,3.53,Dead Ink Books,Paperback,446.0,2024,2024.0,,2025/09/30,to-read,to-read (#267),to-read,0,0,Lost in the Garden,,
239304864,Willow Rose,M Kevin Hayden,"Hayden, M Kevin",,"=""""","=""9798992780543""",0,3.91,Muse of the Moon Books,Hardcover,206.0,2025,,,2025/09/29,to-read,to-read (#266),to-read,0,0,Willow Rose,,
221604746,The House Saphir,Marissa Meyer,"Meyer, Marissa",,"=""125032095X""","=""9781250320957""",0,4.13,Feiwel & Friends,Hardcover,432.0,2025,2025.0,,2025/09/29,to-read,to-read (#265),to-read,0,0,The House Saphir,,
211004924,Firebird,Juliette Cross,"Cross, Juliette",,"=""1250339944""","=""9781250339942""",0,3.68,Bramble,Hardcover,400.0,2025,2025.0,,2025/09/29,to-read,to-read (#264),to-read,0,0,Firebird,The Fire That Binds,1
58517502,Believe Me,Tahereh Mafi,"Mafi, Tahereh",,"=""0063228319""","=""9780063228313""",5,4.11,HarperCollins,Paperback,177.0,2021,2021.0,2025/09/29,2025/09/29,,,read,1,0,Believe Me,Shatter Me,6.5
44054122,Imagine Me,Tahereh Mafi,"Mafi, Tahereh",,"=""006267644X""","=""9780062676443""",4,4.01,HarperCollins,ebook,450.0,2020,2020.0,2025/09/28,2025/09/25,,,read,1,0,Imagine Me,Shatter Me,6
222683916,Exiles,Mason Coile,"Coile, Mason",Andrew Pyper,"=""0593851633""","=""9780593851630""",0,3.85,G.P. Putnam's Sons,Hardcover,224.0,2025,2025.0,,2025/09/27,to-read,to-read (#263),to-read,0,0,Exiles,,
20518872,The Three-Body Problem,Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",0,4.08,Tor Books,Hardcover,472.0,2014,2006.0,,2025/09/27,to-read,to-read (#262),to-read,0,0,The Three-Body Problem,Remembrance of Earth’s Past,1
61431922,Fourth Wing,Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",5,4.57,Entangled: Red Tower Books,Hardcover,517.0,2023,2023.0,,2025/01/03,,,read,2,0,Fourth Wing,The Empyrean,1
